strategy,request_id,expected_safe,predicted_safe,safe_diff,abs_error,amount_exact,expected_earliest,predicted_earliest,earliest_exact,baseline_min,minimum_required,flow_count
CURRENT_MEDIAN_5,request_01,25256.0,25256.0,0.0,0.0,True,2024-03-03,2024-03-03,True,48382.01,18000.0,53
CURRENT_MEDIAN_5,request_02,17229139.2,17884460.18,655320.9800000004,655320.9800000004,False,2025-09-15,2025-09-15,True,47042860.18,29158400.0,43
CURRENT_MEDIAN_5,request_03,873000.0,917826.07,44826.06999999995,44826.06999999995,False,2019-11-15,2019-11-15,True,3586526.07,2668700.0,36
CURRENT_MEDIAN_5,request_04,8401800.0,10425972.98,2024172.9800000004,2024172.9800000004,False,2024-06-15,2024-06-15,True,41112572.98,30686600.0,55
CURRENT_MEDIAN_5,request_05,737.0,0.0,-737.0,737.0,False,,,True,8210.04,13100.0,41
CURRENT_MEDIAN_5,request_06,603.3,524.83,-78.46999999999991,78.46999999999991,False,2026-01-15,2026-01-15,True,1324.83,800.0,66
CURRENT_MEDIAN_5,request_07,87170.56,86402.9,-767.6600000000035,767.6600000000035,False,2024-10-23,2024-10-23,True,179402.9,93000.0,29
CURRENT_MEDIAN_5,request_08,284.57,296.21,11.639999999999986,11.639999999999986,False,2025-04-15,,False,1096.21,800.0,55
CURRENT_MEDIAN_5,request_09,166.61,17.99,-148.62,148.62,False,2026-07-04,,False,617.99,600.0,32
CURRENT_MEDIAN_5,request_10,12700.0,0.0,-12700.0,12700.0,False,,,True,212857.16,225400.0,50
CURRENT_MEDIAN_5,request_11,12510645.0,12227069.33,-283575.6699999999,283575.6699999999,False,2025-07-15,2025-05-15,False,46367669.33,34140600.0,43
CURRENT_MEDIAN_5,request_12,65164.0,56981.94,-8182.059999999998,8182.059999999998,False,2026-04-05,,False,100181.94,43200.0,32
CURRENT_MEDIAN_5,request_13,433.4,570.31,136.90999999999997,136.90999999999997,False,2024-05-15,,False,1870.31,1300.0,52
CURRENT_MEDIAN_5,request_14,597.74,626.46,28.720000000000027,28.720000000000027,False,,,True,2826.46,2200.0,42
CURRENT_MEDIAN_5,request_15,83.05,2.52,-80.53,80.53,False,,,True,1202.52,1200.0,54
CURRENT_MEDIAN_5,request_16,122500.0,122500.0,0.0,0.0,True,2023-08-12,2023-08-12,True,358888.84,122400.0,52
CURRENT_MEDIAN_5,request_17,243849.58,238378.76,-5470.819999999978,5470.819999999978,False,2026-03-15,2026-04-15,False,404478.76,166100.0,53
CURRENT_MEDIAN_5,request_18,462.0,556.27,94.26999999999998,94.26999999999998,False,2026-09-15,2026-09-15,True,1956.27,1400.0,39
CURRENT_MEDIAN_5,request_19,28820.0,30321.99,1501.9900000000016,1501.9900000000016,False,2024-09-15,2024-09-15,True,123121.99,92800.0,43
CURRENT_MEDIAN_5,request_20,5400.0,8360.48,2960.4799999999996,2960.4799999999996,False,,,True,72860.48,64500.0,47
CURRENT_MEDIAN_5,request_21,1543.35,1574.4,31.050000000000182,31.050000000000182,False,2026-04-15,2026-04-03,False,3479.68,1800.0,36
CURRENT_MEDIAN_5,request_22,475.46,465.35,-10.109999999999957,10.109999999999957,False,2025-01-15,2025-01-15,True,965.35,500.0,54
CURRENT_MEDIAN_5,request_23,9152.0,10131.87,979.8700000000008,979.8700000000008,False,2025-07-15,2025-07-15,True,37131.87,27000.0,43
CURRENT_MEDIAN_5,request_24,13420.0,13688.57,268.5699999999997,268.5699999999997,False,,,True,64688.57,51000.0,65
CURRENT_MEDIAN_5,request_25,1425000.0,191027.12,-1233972.88,1233972.88,False,,,True,23570127.12,23379100.0,64
LATEST,request_01,25256.0,25256.0,0.0,0.0,True,2024-03-03,2024-03-03,True,48156.92,18000.0,53
LATEST,request_02,17229139.2,18376094.03,1146954.830000002,1146954.830000002,False,2025-09-15,2025-09-15,True,47534494.03,29158400.0,43
LATEST,request_03,873000.0,989203.09,116203.08999999997,116203.08999999997,False,2019-11-15,2019-11-15,True,3657903.09,2668700.0,36
LATEST,request_04,8401800.0,10283912.78,1882112.7799999993,1882112.7799999993,False,2024-06-15,2024-06-15,True,40970512.78,30686600.0,55
