request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_28,297.35,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,"The full amount is not safe to pay today, but becomes safe on 2024-08-15."
request_29,0,affordable_now,full_payment,2025-11-04:51524,,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_30,325.78,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,,none,Use the supplied 3-payment installment option ending 2026-06-05.
request_31,2946193.66,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"The full amount is not safe to pay today, but becomes safe on 2024-10-15."
request_32,13534.68,affordable_later,wait,2025-04-15:40018,,none,"The full amount is not safe to pay today, but becomes safe on 2025-04-15."
request_33,28942.43,affordable_later,wait,2026-03-15:118000,,none,"The full amount is not safe to pay today, but becomes safe on 2026-03-15."
request_34,62365.75,affordable_now,full_payment,2024-12-04:129400,,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_35,23308.18,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-01-15."
request_36,582.67,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-09-15."
request_37,4422505.47,affordable_later,wait,2024-05-15:14649000,,none,"The full amount is not safe to pay today, but becomes safe on 2024-05-15."
request_38,170,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"The full amount is not safe to pay today, but becomes safe on 2025-10-15."
request_39,56404.13,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-06-15."
request_40,359.92,affordable_later,wait,2024-08-15:1290.3,2024-08-15,none,"The full amount is not safe to pay today, but becomes safe on 2024-08-15."
request_41,9296910.45,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-01-15."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_43,8378431.26,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"The full amount is not safe to pay today, but becomes safe on 2024-11-15."
request_44,30505.32,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"The full amount is not safe to pay today, but becomes safe on 2025-04-15."
request_45,3488751.02,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-09-15."
request_46,35832.02,affordable_with_plan,partial_payment,2024-12-03:35832.02|2024-12-15:13617.98,2024-12-15,none,Pay 35832.02 today and the remaining 13617.98 on 2024-12-15.
request_47,2828773.7,affordable_now,full_payment,2025-05-05:38114000,,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_49,12704243.35,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,Use the supplied 3-payment installment option ending 2024-05-19.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_52,18837.53,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"The full amount is not safe to pay today, but becomes safe on 2024-06-15."
request_53,471.65,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Use the supplied 3-payment installment option ending 2026-01-16.
request_54,2192.31,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of ZAR 37000.
request_55,143460.63,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Use the supplied 3-payment installment option ending 2026-08-12.
request_56,637.18,affordable_with_plan,partial_payment,2025-02-03:637.18|2025-02-15:244.38,2025-02-15,none,Pay 637.18 today and the remaining 244.38 on 2025-02-15.
request_57,13007.82,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-06-15."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_59,113931.09,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,none,Use the supplied 3-payment installment option ending 2025-07-02.
request_60,115.78,affordable_later,wait,2026-02-15:199.89,2026-02-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-02-15."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use the supplied 3-payment installment option ending 2024-05-18.
request_62,0,affordable_now,full_payment,2025-08-05:404.23,,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_63,37913.58,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of INR 153500.
request_64,42667.54,not_affordable,not_recommended,none,2024-07-15,none,No payment method accepted by the user provides a safe plan that completes the request by the desired date.
request_65,5849.37,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of ZAR 15500.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_67,319.43,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"The full amount is not safe to pay today, but becomes safe on 2024-10-15."
request_68,1345.32,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,Use the supplied 3-payment installment option ending 2025-04-11.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_70,50373.61,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"The full amount is not safe to pay today, but becomes safe on 2025-02-15."
request_71,55429.6,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of IDR 8884800.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_75,12716.35,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,none,Use the supplied 3-payment installment option ending 2026-06-08.
request_76,727.2,not_affordable,not_recommended,none,2024-08-15,none,"The conservative full-payment forecast becomes safe only on 2024-08-15, which is after the desired completion date, and no other eligible plan is available."
request_77,60459.03,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"Make the permitted flexible-spending changes (stop:event_7143), then pay the full requested amount today while maintaining the required minimum balance."
request_78,45402.14,not_affordable,not_recommended,none,2025-10-15,none,"The conservative full-payment forecast becomes safe only on 2025-10-15, which is after the desired completion date, and no other eligible plan is available."
request_79,315.14,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of EUR 1000.
request_80,109321.13,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of INR 121300.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_82,303.79,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,"The full amount is not safe to pay today, but becomes safe on 2025-02-15."
request_83,12198.18,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of INR 37800.
request_84,21116.42,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"The full amount is not safe to pay today, but becomes safe on 2026-06-15."
request_85,396561.3,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of IDR 6396300.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_87,19645.21,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely while maintaining the minimum balance of INR 185900.
request_88,10697.32,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,Use the supplied 3-payment installment option ending 2024-08-15.
request_89,9287179.05,not_affordable,not_recommended,none,2026-01-15,none,No payment method accepted by the user provides a safe plan that completes the request by the desired date.
request_90,616.6,affordable_now,full_payment,2026-07-06:2560,,none,The full requested amount can be paid today while maintaining the required minimum balance.
request_91,482.05,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"The full amount is not safe to pay today, but becomes safe on 2024-11-15."
